epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,223.561,4.87175,0.49597,1,1.21484,0.0003375,0.0003375,0.0003375
2,431.103,0.39159,0.91129,1,0.39227,0.000680694,0.000680694,0.000680694
3,628.471,0.20346,0.89919,1,0.43658,0.00101696,0.00101696,0.00101696
4,827.43,0.20998,0.85484,1,0.44012,0.00121287,0.00121287,0.00121287
5,1025.3,0.17942,0.92742,1,0.41516,0.0012005,0.0012005,0.0012005
6,1225.05,0.1622,0.90323,1,0.46405,0.00118812,0.00118812,0.00118812
7,1423.63,0.18896,0.91129,1,0.39038,0.00117575,0.00117575,0.00117575
8,1622.11,0.15516,0.89113,1,0.3808,0.00116337,0.00116337,0.00116337
9,1838.11,0.1487,0.90726,1,0.38058,0.001151,0.001151,0.001151
10,2087,0.14247,0.8871,1,0.36786,0.00113863,0.00113863,0.00113863
11,2328.49,0.1302,0.92339,1,0.36551,0.00112625,0.00112625,0.00112625
12,2530.44,0.14688,0.89516,1,0.39938,0.00111388,0.00111388,0.00111388
13,2733.78,0.14626,0.91532,1,0.33936,0.0011015,0.0011015,0.0011015
14,2952.94,0.12614,0.93548,1,0.31723,0.00108913,0.00108913,0.00108913
15,3195.83,0.13992,0.91935,1,0.33833,0.00107675,0.00107675,0.00107675
16,3441.17,0.1561,0.92339,1,0.32191,0.00106437,0.00106437,0.00106437
17,3678.67,0.13709,0.90726,1,0.34312,0.001052,0.001052,0.001052
18,3923.65,0.14456,0.93548,1,0.30502,0.00103962,0.00103962,0.00103962
19,4169.93,0.15727,0.90726,1,0.36624,0.00102725,0.00102725,0.00102725
20,4415.06,0.11013,0.89113,1,0.38083,0.00101488,0.00101488,0.00101488
21,4660.96,0.12445,0.90726,1,0.34895,0.0010025,0.0010025,0.0010025
22,4901.09,0.15086,0.89516,1,0.40729,0.000990125,0.000990125,0.000990125
23,5155.81,0.13383,0.91532,1,0.37723,0.00097775,0.00097775,0.00097775
24,5398.76,0.13681,0.90726,1,0.38446,0.000965375,0.000965375,0.000965375
25,5640.05,0.12258,0.91129,1,0.32428,0.000953,0.000953,0.000953
26,5882.4,0.12894,0.90726,1,0.36172,0.000940625,0.000940625,0.000940625
27,6131.39,0.14013,0.89919,1,0.38708,0.00092825,0.00092825,0.00092825
28,6371.47,0.11682,0.90323,1,0.36777,0.000915875,0.000915875,0.000915875
