epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,222.762,2.41989,0.79032,1,0.67529,0.073135,0.000135,0.000135
2,441.51,0.40233,0.84274,1,0.42163,0.0452714,0.00027137,0.00027137
3,693.022,0.26556,0.87903,1,0.3364,0.017404,0.000404044,0.000404044
4,951.714,0.24588,0.85081,1,0.45093,0.0004802,0.0004802,0.0004802
5,1211.06,0.16967,0.91532,1,0.2937,0.0004736,0.0004736,0.0004736
6,1473.03,0.16792,0.91129,1,0.34921,0.000467,0.000467,0.000467
7,1717.08,0.1653,0.92339,1,0.28934,0.0004604,0.0004604,0.0004604
8,1967.63,0.15591,0.89919,1,0.29718,0.0004538,0.0004538,0.0004538
9,2209.55,0.11228,0.93952,1,0.23515,0.0004472,0.0004472,0.0004472
10,2451.88,0.09691,0.93145,1,0.30093,0.0004406,0.0004406,0.0004406
11,2693.59,0.09535,0.93145,1,0.27037,0.000434,0.000434,0.000434
12,2938.74,0.10108,0.93952,1,0.25363,0.0004274,0.0004274,0.0004274
13,3181.05,0.10819,0.94355,1,0.21991,0.0004208,0.0004208,0.0004208
14,3423.14,0.09008,0.93548,1,0.27036,0.0004142,0.0004142,0.0004142
15,3665.51,0.07537,0.94355,1,0.20966,0.0004076,0.0004076,0.0004076
16,3912.25,0.07638,0.92742,1,0.23729,0.000401,0.000401,0.000401
17,4156.36,0.0894,0.92742,1,0.22296,0.0003944,0.0003944,0.0003944
18,4399.06,0.09353,0.94758,1,0.20743,0.0003878,0.0003878,0.0003878
19,4642.6,0.11913,0.92339,1,0.25006,0.0003812,0.0003812,0.0003812
20,4885.75,0.06929,0.91935,1,0.2724,0.0003746,0.0003746,0.0003746
21,5128.66,0.05062,0.92339,1,0.27811,0.000368,0.000368,0.000368
22,5371.03,0.10491,0.90323,1,0.30826,0.0003614,0.0003614,0.0003614
23,5614.46,0.06219,0.91129,1,0.27374,0.0003548,0.0003548,0.0003548
24,5858.28,0.06923,0.93548,1,0.26685,0.0003482,0.0003482,0.0003482
25,6102.16,0.07468,0.89113,1,0.34192,0.0003416,0.0003416,0.0003416
26,6344.63,0.05047,0.91532,1,0.31519,0.000335,0.000335,0.000335
27,6581.01,0.06509,0.93952,1,0.21228,0.0003284,0.0003284,0.0003284
28,6824.28,0.05285,0.93548,1,0.23688,0.0003218,0.0003218,0.0003218
