epoch, time    , train/loss, metrics/accuracy_top1, metrics/accuracy_top5, val/loss, lr/pg0    , lr/pg1     , lr/pg2
    1,  178.458,    0.38367,               0.88306,                     1,  0.39168, 0.0802717 , 0.000199275, 0.000199275
    2,  362.591,    0.23515,               0.7621 ,                     1,  0.72557, 0.0604665 , 0.000394005, 0.000394005
    3,  566.393,    0.25667,               0.85887,                     1,  0.51562, 0.0406559 , 0.000583454, 0.000583454
    4,  967.51 ,    0.21534,               0.83871,                     1,  0.51071, 0.0208401 , 0.000767624, 0.000767624
    5, 1231.6  ,    0.2146 ,               0.92339,                     1,  0.25939, 0.00101898, 0.000946514, 0.000946514
    6, 1417.45 ,    0.18335,               0.83871,                     1,  0.61179, 0.000934  , 0.000934   , 0.000934
    7, 1605.67 ,    0.16808,               0.89113,                     1,  0.35092, 0.0009208 , 0.0009208  , 0.0009208
    8, 1798.26 ,    0.12667,               0.87097,                     1,  0.45378, 0.0009076 , 0.0009076  , 0.0009076
    9, 1997.44 ,    0.14023,               0.90726,                     1,  0.25659, 0.0008944 , 0.0008944  , 0.0008944
   10, 2185.7  ,    0.12222,               0.92742,                     1,  0.23841, 0.0008812 , 0.0008812  , 0.0008812
   11, 2363.84 ,    0.11009,               0.81048,                     1,  0.56638, 0.000868  , 0.000868   , 0.000868
   12, 2543.58 ,    0.0943 ,               0.89516,                     1,  0.29804, 0.0008548 , 0.0008548  , 0.0008548
   13, 2728.71 ,    0.08435,               0.95968,                     1,  0.14534, 0.0008416 , 0.0008416  , 0.0008416
   14, 2925.97 ,    0.08295,               0.93952,                     1,  0.16527, 0.0008284 , 0.0008284  , 0.0008284
   15, 3117.75 ,    0.07463,               0.93145,                     1,  0.273  , 0.0008152 , 0.0008152  , 0.0008152
   16, 3281.54 ,    0.06021,               0.95968,                     1,  0.18405, 0.000802  , 0.000802   , 0.000802
   17, 3446.19 ,    0.05366,               0.95565,                     1,  0.20665, 0.0007888 , 0.0007888  , 0.0007888
   18, 3628.87 ,    0.06717,               0.94758,                     1,  0.25787, 0.0007756 , 0.0007756  , 0.0007756
   19, 3822.48 ,    0.04441,               0.96371,                     1,  0.09704, 0.0007624 , 0.0007624  , 0.0007624
   20, 4015.71 ,    0.02595,               0.95565,                     1,  0.24477, 0.0007492 , 0.0007492  , 0.0007492
   21, 4212.74 ,    0.03985,               0.92339,                     1,  0.3657 , 0.000736  , 0.000736   , 0.000736
   22, 4387.37 ,    0.04881,               0.91935,                     1,  0.28301, 0.0007228 , 0.0007228  , 0.0007228
   23, 4556.26 ,    0.04589,               0.92339,                     1,  0.34885, 0.0007096 , 0.0007096  , 0.0007096
   24, 4736.51 ,    0.05482,               0.92339,                     1,  0.29483, 0.0006964 , 0.0006964  , 0.0006964
   25, 4926.96 ,    0.04887,               0.95565,                     1,  0.19826, 0.0006832 , 0.0006832  , 0.0006832
   26, 5117.23 ,    0.04541,               0.95161,                     1,  0.15815, 0.00067   , 0.00067    , 0.00067
   27, 5315.45 ,    0.03859,               0.95968,                     1,  0.16897, 0.0006568 , 0.0006568  , 0.0006568
   28, 5512.7  ,    0.04748,               0.92339,                     1,  0.29661, 0.0006436 , 0.0006436  , 0.0006436
   29, 5695.22 ,    0.03807,               0.94355,                     1,  0.22922, 0.0006304 , 0.0006304  , 0.0006304
   30, 5872.22 ,    0.0319 ,               0.94355,                     1,  0.35529, 0.0006172 , 0.0006172  , 0.0006172
   31, 6046.11 ,    0.03408,               0.92339,                     1,  0.31499, 0.000604  , 0.000604   , 0.000604
   32, 6233.13 ,    0.03933,               0.93548,                     1,  0.32214, 0.0005908 , 0.0005908  , 0.0005908
   33, 6420.37 ,    0.0311 ,               0.95161,                     1,  0.32662, 0.0005776 , 0.0005776  , 0.0005776
   34, 6605.15 ,    0.0185 ,               0.95161,                     1,  0.1451 , 0.0005644 , 0.0005644  , 0.0005644
